review_id,employee_id,review_date,reviewer_id,performance_score,goals_met,promotion_ready,comments
5001,1001,11/28/2023,1001,4.81,1,1,"Above 4.5, Promotion Approved"
5002,1002,6/4/2023,1001,3.52,1,0,"Below 4.5, Promotion denied"
5003,1003,2/9/2024,1001,3.82,1,0,"Below 4.5, Promotion denied"
5004,1004,10/28/2024,1001,4.04,1,0,"Below 4.5, Promotion denied"
5005,1005,2/19/2023,1001,3.33,1,0,"Below 4.5, Promotion denied"
5006,1006,3/16/2023,1001,3.8,1,0,"Below 4.5, Promotion denied"
5007,1007,4/20/2025,1002,3.8,1,0,"Below 4.5, Promotion denied"
5008,1008,7/2/2024,1002,2.75,0,0,"Below 4.5, Promotion denied"
5009,1009,4/7/2023,1002,4.41,1,0,"Below 4.5, Promotion denied"
5010,1010,1/10/2024,1003,4.16,1,0,"Below 4.5, Promotion denied"
5011,1011,8/19/2024,1003,3.42,1,0,"Below 4.5, Promotion denied"
5012,1012,3/1/2023,1003,3.7,1,0,"Below 4.5, Promotion denied"
5013,1013,7/20/2025,1004,4.1,1,0,"Below 4.5, Promotion denied"
5014,1014,6/3/2024,1004,3.64,1,0,"Below 4.5, Promotion denied"
5015,1015,8/8/2023,1004,3.65,1,0,"Below 4.5, Promotion denied"
5016,1016,2/8/2023,1005,2.93,0,0,"Below 4.5, Promotion denied"
5017,1017,3/30/2023,1005,4.13,1,0,"Below 4.5, Promotion denied"
5018,1018,3/20/2024,1005,3.87,1,0,"Below 4.5, Promotion denied"
5019,1019,3/4/2024,1001,3.96,1,0,"Below 4.5, Promotion denied"
5020,1020,3/13/2023,1001,2.88,0,0,"Below 4.5, Promotion denied"
5021,1021,9/4/2023,1001,4.79,1,1,"Above 4.5, Promotion Approved"
5022,1022,4/3/2023,1006,3.89,1,0,"Below 4.5, Promotion denied"
5023,1023,7/18/2024,1006,3.57,1,0,"Below 4.5, Promotion denied"
5024,1024,3/10/2024,1006,5,1,1,"Above 4.5, Promotion Approved"
5025,1025,3/2/2023,1006,3.77,1,0,"Below 4.5, Promotion denied"
5026,1026,4/26/2025,1004,2.93,0,0,"Below 4.5, Promotion denied"
5027,1027,8/2/2024,1005,3.56,1,0,"Below 4.5, Promotion denied"
5028,1028,5/7/2023,1003,2.43,0,0,"Below 4.5, Promotion denied"
